"","Value","Study"
"1",1.08158710953358,"CDEF"
"2",1.56717846524084,"CDEF"
"3",1.38958433577583,"CDEF"
"4",1.404060532574,"CDEF"
"5",1.20282142141967,"CDEF"
"6",1.13984985427197,"CDEF"
"7",0.887782076260134,"CDEF"
"8",0.691506449331951,"CDEF"
"9",1.33090095608828,"CDEF"
"10",1.4856755910988,"CDEF"
"11",0.862881991330379,"CDEF"
"12",1.56005002748661,"CDEF"
"13",1.53160277353039,"CDEF"
"14",1.22270961680188,"CDEF"
"15",1.37129285115151,"CDEF"
"16",1.34414358649199,"CDEF"
"17",1.40953117117834,"CDEF"
"18",0.777300391940409,"CDEF"
"19",0.889420915747858,"CDEF"
"20",1.40164432926779,"CDEF"
"21",1.24907801431617,"CDEF"
"22",1.17168281653974,"CDEF"
"23",1.64383856368181,"CDEF"
"24",0.889698741162811,"CDEF"
"25",1.5037127373452,"CDEF"
"26",1.11006069890024,"CDEF"
"27",1.35422280477742,"CDEF"
"28",1.16220737873874,"CDEF"
"29",1.4569314472301,"CDEF"
"30",1.15441887337418,"CDEF"
"31",1.13507144211321,"CDEF"
"32",1.06973381711599,"CDEF"
"33",1.01670319745445,"CDEF"
"34",0.702200033485239,"CDEF"
"35",0.534687378538013,"CDEF"
"36",0.996675939675635,"CDEF"
"37",1.01432697448001,"CDEF"
"38",1.50322804481262,"CDEF"
"39",1.32538644068504,"CDEF"
"40",1.37322649255834,"CDEF"
"41",0.925741838083561,"CDEF"
"42",1.36154803315876,"CDEF"
"43",0.679081043102203,"CDEF"
"44",1.29850937011521,"CDEF"
"45",1.52444248057609,"CDEF"
"46",1.15154233072835,"CDEF"
"47",1.09429256965625,"CDEF"
"48",1.33285641485381,"CDEF"
"49",1.16124406713192,"CDEF"
"50",0.681486666487271,"CDEF"
"51",1.17400464166473,"CDEF"
"52",1.236024968624,"CDEF"
"53",1.43299734508027,"CDEF"
"54",1.05485964901259,"CDEF"
"55",1.47123934633532,"CDEF"
"56",0.830038437508312,"CDEF"
"57",1.11830816754935,"CDEF"
"58",0.968283977598666,"CDEF"
"59",0.98753450227506,"CDEF"
"60",0.999967811186224,"CDEF"
"61",0.865615842462389,"CDEF"
"62",1.06059808118108,"CDEF"
"63",0.987731238368168,"CDEF"
"64",1.36580527252796,"CDEF"
"65",0.736186616847977,"CDEF"
"66",0.958681298796161,"CDEF"
"67",0.578745052107323,"CDEF"
"68",0.786249313873755,"CDEF"
"69",1.15891472189927,"CDEF"
"70",1.16861452644197,"CDEF"
"71",1.53944455417722,"CDEF"
"72",0.612283691251796,"CDEF"
"73",1.26983866647314,"CDEF"
"74",1.01446042894271,"CDEF"
"75",1.26740059253848,"CDEF"
"76",1.23454358836016,"CDEF"
"77",0.66679861295778,"CDEF"
"78",1.20150662599878,"CDEF"
"79",1.02238091241988,"CDEF"
"80",0.875479274690464,"CDEF"
"81",1.35856683975626,"CDEF"
"82",1.33435876951677,"CDEF"
"83",1.50743089736422,"CDEF"
"84",1.24357593857441,"CDEF"
"85",0.831922028158587,"CDEF"
"86",0.694952780902258,"CDEF"
"87",1.04671335840977,"CDEF"
"88",0.990913785957533,"CDEF"
"89",1.32160840492127,"CDEF"
"90",1.2447332669037,"CDEF"
"91",1.34948094618148,"CDEF"
"92",0.569621441806526,"CDEF"
"93",1.37363981974228,"CDEF"
"94",1.30073995101612,"CDEF"
"95",1.07962248689272,"CDEF"
"96",1.28240064932135,"CDEF"
"97",1.30913367979065,"CDEF"
"98",1.21021143575326,"CDEF"
"99",0.965135919878397,"CDEF"
"100",0.8206306053476,"CDEF"
"101",0.888174489438054,"CDEF"
"102",1.73620582187659,"CDEF"
"103",1.44132365433289,"CDEF"
"104",1.50832167019871,"CDEF"
"105",1.18338660959672,"CDEF"
"106",0.638254349150446,"CDEF"
"107",0.970161581159562,"CDEF"
"108",0.563562116404385,"CDEF"
"109",1.34202511797248,"CDEF"
"110",1.04891354713641,"CDEF"
"111",1.23211953436737,"CDEF"
"112",1.67897073083764,"CDEF"
"113",1.15458253631713,"CDEF"
"114",1.08716438586885,"CDEF"
"115",1.38933905662131,"CDEF"
"116",0.731628141517477,"CDEF"
"117",1.07116529865909,"CDEF"
"118",1.3766439114471,"CDEF"
"119",0.73208204901203,"CDEF"
"120",1.60128719041415,"CDEF"
"121",1.2825794438102,"CDEF"
"122",1.4622177911527,"CDEF"
"123",1.01243860887271,"CDEF"
"124",0.914790884594657,"CDEF"
"125",1.05198174363171,"CDEF"
"126",0.632812753776586,"CDEF"
"127",0.445579527600886,"CDEF"
"128",0.997179877351604,"CDEF"
"129",1.20971991179003,"CDEF"
"130",1.07818837991252,"CDEF"
"131",1.04126677707662,"CDEF"
"132",1.26281224988379,"CDEF"
"133",1.10550031845359,"CDEF"
"134",1.00765889429282,"CDEF"
"135",0.87540603505395,"CDEF"
"136",1.37344198689937,"CDEF"
"137",0.998198805195023,"CDEF"
"138",1.19065133378965,"CDEF"
"139",0.973588306244577,"CDEF"
"140",1.22797627741969,"CDEF"
"141",1.07736840932405,"CDEF"
"142",0.612137517555569,"CDEF"
"143",0.959511676011898,"CDEF"
"144",1.21588158243391,"CDEF"
"145",0.895880560361557,"CDEF"
"146",0.851061511867143,"CDEF"
"147",0.992756017856572,"CDEF"
"148",1.28346377808177,"CDEF"
"149",0.976490197337187,"CDEF"
"150",1.24861160592686,"CDEF"
"151",1.69724336521689,"CDEF"
"152",1.56819422264747,"CDEF"
"153",1.12237334926124,"CDEF"
"154",0.789316570660698,"CDEF"
"155",1.14320685734058,"CDEF"
"156",1.35609233756818,"CDEF"
"157",1.35473509856147,"CDEF"
"158",1.26698519059033,"CDEF"
"159",1.06674766560173,"CDEF"
"160",0.546011653052402,"CDEF"
"161",0.871218315018614,"CDEF"
"162",1.18507874626058,"CDEF"
"163",0.695885962779045,"CDEF"
"164",1.07486814527021,"CDEF"
"165",1.1887115493288,"CDEF"
"166",0.718670639490164,"CDEF"
"167",1.21042421604175,"CDEF"
"168",1.11486521872255,"CDEF"
"169",1.00256307330131,"CDEF"
"170",1.21708212526805,"CDEF"
"171",0.769343247335589,"CDEF"
"172",1.64617253216375,"CDEF"
"173",0.501431725485577,"CDEF"
"174",1.05175113970343,"CDEF"
"175",1.15712460120127,"CDEF"
"176",1.01802364621721,"CDEF"
"177",0.671913284055743,"CDEF"
"178",1.50679934880881,"CDEF"
"179",1.2908917573816,"CDEF"
"180",0.994345621337342,"CDEF"
"181",1.52243071655228,"CDEF"
"182",1.15588857386823,"CDEF"
"183",1.21645818399923,"CDEF"
"184",1.51219651288528,"CDEF"
"185",1.09553327473573,"CDEF"
"186",1.03454203642069,"CDEF"
"187",1.36341687648098,"CDEF"
"188",0.901398444742785,"CDEF"
"189",0.859260183249681,"CDEF"
"190",0.766723308673141,"CDEF"
"191",0.862317889170292,"CDEF"
"192",1.27128303085339,"CDEF"
"193",1.55568642566171,"CDEF"
"194",1.19960882994044,"CDEF"
"195",1.55049652587559,"CDEF"
"196",1.29703561036644,"CDEF"
"197",1.21263506059679,"CDEF"
"198",1.29639435758751,"CDEF"
"199",1.36177133142148,"CDEF"
"200",1.34485412096948,"CDEF"
